,collocate,raw_frequency,MI
178,DONE,1,3.6451088978686506
179,EXCHANGED,1,7.029499161214424
180,GLANCES,1,6.62403405310626
181,PART,1,3.548259071878733
182,ENGLAND,1,3.961446226080808
183,MANY,1,2.7053665049594455
184,V,1,6.33635198065448
185,SHORTS,1,7.72264634177437
186,UPPER,1,7.029499161214424
187,FRIENDLY,1,4.196285817158209
188,COTTAGES,1,5.525421764438151
189,BAD,1,4.13912740331826
190,BEHAVIOR,1,7.72264634177437
191,BUTLER,1,7.029499161214424
192,FOOTMEN,1,6.62403405310626
193,TH,1,7.72264634177437
194,WALK,1,4.3904418315991665
195,PAST,1,4.58715212584522
196,LEANED,1,4.950057619534589
197,AIN,1,7.029499161214424
198,TREES,1,4.3904418315991665
199,WIDE,1,4.58715212584522
200,OPEN,1,3.7523544282222483
201,COURT,1,4.426809475770041
202,SORROW,1,4.7782073626079296
203,POVERTY,1,6.33635198065448
204,BROUGHAM,1,6.113208429340269
205,OFTEN,1,3.6622033312279507
206,ST,1,5.930886872546315
207,SEW,1,7.72264634177437
208,THOSE,1,2.7390397200660335
209,THINKING,1,4.13912740331826
210,HOW,1,2.1971934026425863
211,END,1,3.715313156541899
212,VILLAGE,1,5.1576969843128335
213,TOGETHER,1,3.365937515084778
214,DILAPIDATED,1,7.72264634177437
215,MISERABLE,1,5.01459614067216
216,CARELESS,1,6.113208429340269
217,PULLED,1,5.23773969198637
218,NEW,1,3.2918295429310565
219,BUILT,1,5.930886872546315
220,LORDS,1,5.420061248780324
221,MOMENT,1,3.5031386365982633
222,LODGING,1,7.72264634177437
223,LONDON,1,4.5445925114264245
224,EARL,1,1.8421133553736697
225,UNTIL,1,4.50377051690617
226,LIVED,1,3.894004945285275
227,MARRIED,1,5.083589012159111
228,SET,1,3.984976723491002
229,ROOMS,1,4.631603888416054
230,N,1,4.678123904050947
231,WOMAN,1,3.059207247662303
232,O,1,4.111728429130146
233,TOLD,1,3.0405151146501503
234,ME,1,0.6054408386100257
235,MINNA,1,6.33635198065448
236,D,1,3.5329915997479446
237,STOPPED,1,4.631603888416054
238,OPPOSITE,1,5.23773969198637
239,STARING,1,5.525421764438151
240,LET,1,3.0879173535447344
241,INTO,1,2.2011854239121234
242,SAYS,1,3.8724987400643114
243,GOES,1,5.776736192719056
244,CARRIAGE,1,3.6451088978686506
245,ROOM,1,2.647472526540543
246,DO,1,1.7590669981559237
247,DEMANDED,1,5.324751068975999
248,FLOWER,1,4.950057619534589
249,GARDENS,1,6.62403405310626
250,TERRACES,1,7.029499161214424
251,P,1,6.62403405310626
252,STOOD,2,3.894004945285275
253,MUST,2,3.12752649163978
254,UNDER,2,4.2111009029433495
255,IF,2,2.231644631396832
256,ACTUALLY,2,4.5445925114264245
257,HELIOBAS,2,2.795392656617165
258,FELT,2,3.7244456401051718
259,MAID,2,7.72264634177437
260,PRIVATE,2,5.525421764438151
261,DAYS,2,4.50377051690617
262,CHILD,2,3.7429646878724094
263,ROUND,2,4.196285817158209
264,LIKE,2,2.4020783662915135
265,WHAT,2,2.203187426582797
266,QUIET,2,5.119956656329986
267,THEIR,2,2.8824040336067953
268,TELEGRAPH,2,7.317181233666205
269,WIRE,2,6.806355609900215
270,STRETCHING,2,7.029499161214424
271,LEAVE,2,4.678123904050947
272,WILL,2,2.105875244107799
273,SERVANTS,2,4.889432997718154
274,BODY,2,4.426809475770041
275,TAUGHT,2,5.850844164872779
276,GONE,2,4.678123904050947
277,DOWN,2,3.23400997204223
278,SAW,2,3.38535560094188
279,SMALL,2,3.800673005493056
280,STREET,2,5.1576969843128335
281,EVERYTHING,2,4.009074275070062
282,LIVE,2,4.523973224223689
283,WE,2,2.486204378944421
284,LITTLE,2,2.2234310328594433
285,T,2,2.851273115011622
286,ANY,2,3.059207247662303
287,ANOTHER,2,3.973142265843999
288,MUCH,2,3.05450135662489
289,AM,2,2.8474490185732186
290,LOOKING,2,3.851445330866479
291,MELLON,2,6.113208429340269
292,GAVE,2,3.984976723491002
293,LODGE,2,5.525421764438151
294,CLOSE,2,4.981806317849169
295,USED,2,4.338256078428596
296,PROUD,2,4.804875609690091
297,SUCH,2,3.1325897935963267
298,NEVER,2,2.9186252970411135
299,TWO,2,3.5329915997479446
300,OTHER,2,3.168769450173829
301,DAWSON,2,5.0484976923478415
302,INMATES,2,7.72264634177437
303,FARM,2,6.806355609900215
304,BACK,2,3.5559811179726433
305,OR,2,2.25881453674876
306,SHOULD,2,3.059207247662303
307,EMPTY,2,6.218568944998096
308,WHICH,3,2.537124469371678
309,MYSELF,3,3.8308260436637434
310,ON,3,2.095025228083733
311,TIME,3,3.40961257858744
312,SO,3,2.2392334915496535
313,THERE,3,2.5927476268512963
314,WHERE,3,3.8240463566783647
315,GREAT,3,3.365937515084778
316,ONLY,3,3.5031386365982633
317,CAN,3,3.1548319423300475
318,FAR,3,4.5727633883931205
319,MORE,3,2.9186252970411135
320,HOT,3,6.113208429340269
321,YOUR,3,2.588810613891957
322,TAKE,3,4.2362911517719075
323,SOME,3,3.1208150570517934
324,REACHED,3,5.420061248780325
325,OWN,3,3.44136127690202
326,DOOR,3,4.355350511787896
327,MRS,3,3.8796162078331755
328,HIM,3,1.9936293959396276
329,ITS,3,3.450620602314817
330,COULD,3,3.1479353632709874
331,THEM,3,2.902364776169333
332,LARGE,3,4.694124245397388
333,FOR,3,1.8467797194174345
334,OUT,3,2.989376153158963
335,COME,3,3.611772477601059
336,JUST,3,4.04213513733095
337,WHEN,4,2.849359238829338
338,ARE,4,2.7390397200660335
339,WERE,4,2.811831382960325
340,WHO,4,2.902364776169333
341,BEEN,4,3.049817507312464
342,HOUSE,4,4.846260825852945
343,ALL,4,2.511795001007609
344,THEY,4,2.7756610747545705
345,SEE,4,3.459966464733055
346,BUT,4,2.368421343288037
347,AN,4,2.8136747014546146
348,CASTLE,4,5.01459614067216
349,CEDRIC,4,3.984976723491002
350,QUITE,4,3.9271571526021756
351,ONE,5,2.9072152303030827
352,AS,5,2.1102484289200216
353,GO,5,4.472271849846798
354,UP,5,3.497273517145865
355,DEAREST,5,5.271641243662051
356,BE,5,2.4609929595979247
357,HOLD,6,6.741817088762644
358,THAT,6,1.9974285863981038
359,KEEPER,6,8.82125863044248
360,VERY,7,3.511577505244128
361,BEFORE,7,4.284061428040594
362,NOT,7,2.6700468485790823
363,MY,8,2.8182979181960714
364,SHE,8,3.0651209254523506
365,SAID,8,3.071069782972123
366,WITH,8,2.6174587307368915
367,FROM,9,3.717335401922667
368,HER,9,3.0965847967549025
369,THIS,10,3.677842225112405
370,AT,11,3.248413513233755
371,HAD,12,3.090347488398026
372,HIS,13,2.6992720219006845
373,YOU,13,2.619969607650916
374,IS,13,3.145559124529104
375,WAS,14,2.7892006863692442
376,HE,14,2.407331398857762
377,I,16,2.2412264734493075
378,IT,17,2.908073640389653
379,S,19,3.952914791031339
380,TO,26,2.6263039396810406
381,IN,30,3.3167404333105455
382,A,31,2.988997831013147
383,OF,37,2.966496521579995
384,AND,48,2.8583221669490357
385,THE,93,3.375355867254162
